readability,linguistic_abstractness,coherence,financial_key_point_coverage,background_context_adequacy,management_sentiment_conveyance,future_outlook_analysis,factual_accuracy,file,model,condition,avg_textual_quality,avg_financial_professionalism,avg_overall
4,4,4,3,3,3,4,3,PCAR_q1_2014_p5_output.json,findebate,findebate,4.0,3.2,3.5
4,4,4,4,3,3,4,3,PCAR_q1_2015_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,2,3,3,3,2,PCAR_q1_2016_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,3,3,3,3,3,PCAR_q2_2014_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,2,3,2,3,3,PCAR_q2_2015_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,3,3,4,3,3,PCAR_q3_2014_p5_output.json,findebate,findebate,4.0,3.2,3.5
4,4,4,3,3,3,3,3,PCAR_q3_2015_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,3,4,3,2,3,PCAR_q4_2014_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,2,3,3,3,2,PCAR_q4_2015_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,3,4,4,3,3,RPM_q3_2022_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,3,3,4,SF_q3_2020_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,2,3,2,3,3,SWN_q2_2021_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,3,3,4,3,4,SYY_q2_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,3,3,2,4,3,TK_q1_2021_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,4,3,4,4,3,TT_q1_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,4,4,3,UNH_q2_2014_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,3,4,3,UVE_q4_2020_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,4,4,3,VMI_q1_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,3,4,3,VSH_q2_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,3,3,2,4,3,WWW_q3_2021_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,3,3,4,4,3,WYNN_q2_2014_p5_output.json,findebate,findebate,4.0,3.4,3.625
